Name,A,I,O,R,F,Pin,Function,"Power, Clock, Debug, System",ICU,SSI_COMMON,IIC,AGT,ETHERC_RMII,SCI,GPT,ADC,CANFD,GPT_POEG,RTC,CAC,SSI,SPI,USB_HS,CEC,CTSU,USB_FS,SDHI,GPT_OPS,QSPI,BUS_ASYNCH,OSPI,DAC,Symbolic Name,IRQ,Mode,Port Capabilities,Pin Function Comment,Direction,Remarks,Pin Number Comment,Pull up,Output type,Drive Capacity
ETHERC_RMII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_MDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_MDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_MDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_MDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: REF50CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: REF50CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_CRS_DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_CRS_DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RX_ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RX_ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_RXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD_EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD_EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_RMII0: RMII_TXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOULO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOUUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOUUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOUUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOUUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOVUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_OPS0: GTOWUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG0: GTETRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG0: GTETRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG0: GTETRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG1: GTETRGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG1: GTETRGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG2: GTETRGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG2: GTETRGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG3: GTETRGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT_POEG3: GTETRGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT0: GTIOC0B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT1: GTIOC1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT2: GTIOC2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT2: GTIOC2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT2: GTIOC2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT2: GTIOC2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT3: GTIOC3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT3: GTIOC3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT3: GTIOC3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT3: GTIOC3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT4: GTIOC4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT4: GTIOC4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT4: GTIOC4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT4: GTIOC4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT4: GTIOC4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GPT4: GTIOC4B""",,,,,,,IO,,,,CMOS,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT5: GTIOC5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT6: GTIOC6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT7: GTIOC7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT7: GTIOC7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT7: GTIOC7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT7: GTIOC7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT8: GTIOC8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT8: GTIOC8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT8: GTIOC8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT8: GTIOC8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT9: GTIOC9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT9: GTIOC9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ02""",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ03""",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ06""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ07""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ08""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ09""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ10""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ11""",,,,,,,IO,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ12""",,,,,,,IO,,,,CMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ13""",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ13""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ICU0: IRQ14""",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU0: IRQ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC0: SCL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC0: SCL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC0: SDA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC0: SDA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1: SCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1: SCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1: SDA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC1: SDA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2: SCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2: SCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2: SDA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIC2: SDA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMCS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMCS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMCS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMDQS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OSPI0: OMECS""",,,,,,,IO,,,None,CMOS,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPI0: OMSIO7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000,*,,,*,,169,ADC0_AN000,,IRQ06,,,,,,,AN000/AN100,,,,,,,,,,,,,,,,,MIKROBUS_AN_ARDUINO_A0,,Analog mode,ADC0: AN000,,,,,,,
P001,*,,,*,,168,ADC0_AN001,,IRQ07,,,,,,,AN001/AN101,,,,,,,,,,,,,,,,,ARDUINO_A1,,Analog mode,ADC0: AN001,,,,,,,
P002,*,,,*,,167,ADC0_AN002,,IRQ08,,,,,,,AN002/AN102,,,,,,,,,,,,,,,,,ARDUINO_A2,,Analog mode,ADC0: AN002,,,,,,,
P003,*,,,,,166,ADC0_AN003,,,,,,,,,AN003,,,,,,,,,,,,,,,,,ARDUINO_A3,,Analog mode,ADC0: AN003,,IO,,,None,,
P004,*,*,*,*,,165,GPIO,,IRQ09,,,,,,,AN004,,,,,,,,,,,,,,,,,SW2,IRQ09,Input mode,ADC0: AN004,,,,,,,
P005,*,*,*,*,,164,GPIO,,IRQ10,,,,,,,AN005,,,,,,,,,,,,,,,,,SW1,IRQ10,Input mode,ADC0: AN005,,,,,,,
P006,*,*,*,*,,163,GPIO,,IRQ11,,,,,,,AN006,,,,,,,,,,,,,,,,,LED1,None,Output mode (Initial Low),ADC0: AN006,,,,,,,
P007,*,*,*,,,162,GPIO,,,,,,,,,AN007,,,,,,,,,,,,,,,,,LED2,,Output mode (Initial Low),ADC0: AN007,,IO,,,,CMOS,
P008,*,*,*,*,,161,GPIO,,IRQ12,,,,,,,AN008,,,,,,,,,,,,,,,,,LED3,None,Output mode (Initial Low),ADC0: AN008,,,,,,,
P009,*,,,*,,160,,,IRQ13,,,,,,,AN009,,,,,,,,,,,,,,,,,,,Disabled,ADC0: AN009,,,,,,,
P010,*,,,*,,159,,,IRQ14,,,,,,,AN010,,,,,,,,,,,,,,,,,,,Disabled,ADC0: AN010,,,,,,,
P014,*,,,,,152,ADC0_AN012,,,,,,,,,AN012,,,,,,,,,,,,,,,,DA0,ARDUINO_A4,,Analog mode,ADC0: AN012,,,,,,,
P015,,,,*,,151,ADC0_AN013,,IRQ13,,,,,,,AN013,,,,,,,,,,,,,,,,DA1,ARDUINO_A5,,Analog mode,ADC0: AN013,,,,,,,
P100,,,,*,,132,OSPI0_OMSCLK,,IRQ02,,,AGTIO0,,RXD0/SCL0/SCK1,GTIOC5B,,,GTETRGA,,,,MISOB,,,,,,,QSPCLK,D00,OMSCLK,,OSPI_CLK,None,Peripheral mode,AGT0: AGTIO0,,,,,,,
P101,,,,*,,131,OSPI0_OMSIO7,,IRQ01,,,AGTEE0,,TXD0/SDA0/CTSRTS1,GTIOC5A,,,GTETRGB,,,,MOSIB,,,,,,,QIO1,D01,OMSIO7,,OSPI_SIO7,None,Peripheral mode,AGT0: AGTEE0,,,,,,,
P102,,,,,,130,OSPI0_OMSIO1,,,,,AGTO0,,SCK0,GTIOC2B,ADTRG0,CRX0,,,,,RSPCKB,,,,,,GTOWLO,QIO0,D02,OMSIO1,,OSPI_SIO1,,Peripheral mode,ADC0: ADTRG0,,,,,,,
P103,,,,,,129,OSPI0_OMSIO6,,,,,AGTIO2,,CTSRTS0,GTIOC2A,,CTX0,,,,,SSLB0,,,,,,GTOWUP,QIO3,D03,OMSIO6,,OSPI_SIO6,,Peripheral mode,AGT2: AGTIO2,,,,,,,
P104,,,,*,,128,OSPI0_OMDQS,,IRQ01,,,AGTEE2,,RXD8/SCL8,GTIOC1B,,,GTETRGB,,,,SSLB1,,,,,,,QIO2,D04,OMDQS,,OSPI_DQS,None,Peripheral mode,AGT2: AGTEE2,,,,,,,
P105,,,,*,,127,OSPI0_OMSIO5,,IRQ00,,,AGTO2,,TXD8/SDA8,GTIOC1A,,,GTETRGA,,,,SSLB2,,,,,,,,D05,OMSIO5,,OSPI_SIO5,None,Peripheral mode,AGT2: AGTO2,,,,,,,
P106,,,,,,126,OSPI0_OMSIO0,,,,,AGTOB0,,SCK8,GTIOC8B,,,,,,,SSLB3,,,,,,,,D06,OMSIO0,,OSPI_SIO0,,Peripheral mode,AGT0: AGTOB0,,,,,,,
P107,,,,,,125,OSPI0_OMSIO3,,,,,AGTOA0,,CTSRTS8,GTIOC8A,,,,,,,,,,,,,,,D07,OMSIO3,,OSPI_SIO3,,Peripheral mode,AGT0: AGTOA0,,,,,,,
P111,,,,*,,92,GPT3_GTIOC3A,,IRQ04,,,AGTOA5,,SCK2/SCK9,GTIOC3A,,,,,,,RSPCKA,,,,,,,,A05,,,MIKROBUS_PWM_ARDUINO_D3_PWM,None,Peripheral mode,AGT5: AGTOA5,,,,,,,
P112,,,,,,93,GPIO,,,,,AGTOB5,,SCK1/TXD2/SDA2,GTIOC3B,,,,,,SSIBCK0,SSLA0,,,,,,,QSSL,A04,OMCS1,,ARDUINO_D4,,Output mode (Initial Low),AGT5: AGTOB5,,,,,,,
P113,,,,,,94,GPIO,,,,,AGTEE5,,RXD2/SCL2,GTIOC2A,,,,,,SSILRCK0,,,,,,,,,A03,,,ARDUINO_D5,,Output mode (Initial Low),AGT5: AGTEE5,,,,,,,
P114,,,,,,95,GPIO,,,,,AGTIO5,,CTS9,GTIOC2B,,,,,,SSIRXD0,,,,,,,,,A02,,,ARDUINO_D6,,Output mode (Initial Low),AGT5: AGTIO5,,,,,,,
